name,correctAns,keypad,thisN,thisTrialN,thisRepN,key_resp_A1.keys,key_resp_A1.corr,key_resp_A1.rt,key_resp_A1.duration,key_resp_A2.keys,key_resp_A2.corr,key_resp_A2.rt,key_resp_A2.duration,words,key_resp_B1.keys,key_resp_B1.corr,key_resp_B1.rt,key_resp_B1.duration,key_resp_B2.keys,key_resp_B2.corr,key_resp_B2.rt,key_resp_B2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,welcome.started,key_resp_22.started,Welcome.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,Introduction.started,key_resp.started,information.started,Introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reminder_A1.started,key_resp_2.started,image_a1.started,reminder_A1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ISI1500_A1.started,background_A.started,text_ISI1500_A1.started,ISI1500_A1.stopped,practice_Task_A1.started,background_A_2.started,text_A1.started,key_resp_A1.started,practice_Task_A1.stopped,trials.key_resp_A1.keys,trials.key_resp_A1.corr,trials.key_resp_A1.rt,trials.key_resp_A1.duration,feedback_A1.started,feedback_A1.stopped,ISI250_A1.started,background_A_4.started,text_ISI250_A1.started,ISI250_A1.stopped,background_A_3.started,feedback_text_A1.started,score_A1.started,score_A1_text.started,key_resp_score.started,score_A1.stopped,key_resp_score.keys,key_resp_score.rt,key_resp_score.duration,reminder_A2.started,key_resp_23.started,image_a2.started,reminder_A2.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,record_Task_A2.started,background_A_5.started,text_A2.started,key_resp_A2.started,record_Task_A2.stopped,trials_4.key_resp_A2.keys,trials_4.key_resp_A2.corr,trials_4.key_resp_A2.rt,trials_4.key_resp_A2.duration,feedback_A2.started,feedback_A2.stopped,background_A_6.started,feedback_text_A2.started,background_A_6.stopped,feedback_text_A2.stopped,background_A_4.stopped,text_ISI250_A1.stopped,score_A2.started,score_A2_text.started,key_resp_3.started,score_A2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,reminder_B1.started,key_resp_24.started,image_b1.started,reminder_B1.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,ISI1500_B1.started,background_B.started,text_ISI1500_B1.started,ISI1500_B1.stopped,practice_Task_B1.started,background_B_2.started,text_B1.started,key_resp_B1.started,practice_Task_B1.stopped,trials_7.key_resp_B1.keys,trials_7.key_resp_B1.corr,trials_7.key_resp_B1.rt,trials_7.key_resp_B1.duration,feedback_B1.started,feedback_B1.stopped,ISI250_B1.started,background_B_4.started,text_ISI250_B1.started,ISI250_B1.stopped,background_B_4.stopped,text_ISI250_B1.stopped,background_B_3.started,feedback_text_B1.started,background_B_3.stopped,feedback_text_B1.stopped,score_B1.started,score_B1_text.started,key_resp_6.started,score_B1.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,reminder_B2.started,key_resp_25.started,image_b2.started,reminder_B2.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.duration,background_B.stopped,text_ISI1500_B1.stopped,record_Task_B2.started,background_B_6.started,text_B2.started,key_resp_B2.started,record_Task_B2.stopped,trials_2.key_resp_B2.keys,trials_2.key_resp_B2.corr,trials_2.key_resp_B2.rt,trials_2.key_resp_B2.duration,feedback_B2.started,feedback_B2.stopped,background_B_5.started,feedback_text_B2.started,background_B_5.stopped,feedback_text_B2.stopped,score_B2.started,score_B2_text.started,key_resp_4.started,score_B2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,reminder_C1.started,key_resp_26.started,image_c1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Byun,left,a,6,6,0,a,1,0.47420354099995166,None,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,19.38638383399848,,,,,,,,,,,,,,,,,,,,,,,,,,,19.378411458999835,19.38638383399848,19.38638383399848,19.38638383399848,19.86467900000025,a,1,0.47420354099995166,None,19.86485187499966,19.864916249998714,19.86496037500001,19.878679666999233,19.878679666999233,20.104974500000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Maeng,left,a,7,7,0,a,1,0.5395397920001415,None,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,20.118369583999083,,,,,,,,,,,,,,,,,,,,,,,,,,,20.110384499999782,20.118369583999083,20.118369583999083,20.118369583999083,20.664284167000005,a,1,0.5395397920001415,None,20.664413999998942,20.664462374999857,20.664496958999734,20.676355249999688,20.676355249999688,20.904632166999363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Kuzumaki,right,l,8,8,0,l,1,0.6046480419990985,None,,,,,,,,,,,,,,0,8,8,35,,,,,,,,,,,,,20.91823837499942,,,,,,,,,,,,,,,,,,,,,,,,,,,20.910335958998985,20.91823837499942,20.91823837499942,20.91823837499942,21.530816458998743,l,1,0.6046480419990985,None,21.53094366699952,21.530992459000117,21.531028499999593,21.542846291999012,21.542846291999012,21.771701666999434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Chae,left,a,9,9,0,a,1,0.4950338750004448,None,,,,,,,,,,,,,,0,9,9,14,,,,,,,,,,,,,21.784088041998984,,,,,,,,,,,,,,,,,,,,,,,,,,,21.776010249999672,21.784088041998984,21.784088041998984,21.784088041998984,22.289459499999793,a,1,0.4950338750004448,None,22.289588374998857,22.289637583999138,22.289672708999205,22.301255833999676,22.301255833999676,22.529502416999094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Kushibashi,right,l,10,10,0,l,1,0.47221929199986334,None,,,,,,,,,,,,,,0,10,10,33,,,,,,,,,,,,,22.542681208999056,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53446412499943,22.542681208999056,22.542681208999056,22.542681208999056,23.022502709000037,l,1,0.47221929199986334,None,23.02263291700001,23.022682583999995,23.022717166999428,23.034360916999503,23.034360916999503,23.262412874999427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Nakamoto,right,l,11,11,0,l,1,0.642057458000636,None,,,,,,,,,,,,,,0,11,11,46,,,,,,,,,,,,,23.276422916998854,,,,,,,,,,,,,,,,,,,,,,,,,,,23.268264499998622,23.276422916998854,23.276422916998854,23.276422916998854,23.922538999999233,l,1,0.642057458000636,None,23.92266495900003,23.9227135000001,23.922747458998856,23.93025916700026,23.93025916700026,24.162589916999423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Kamakura,right,l,12,12,0,l,1,0.5666409579989704,None,,,,,,,,,,,,,,0,12,12,43,,,,,,,,,,,,,24.188239375000194,,,,,,,,,,,,,,,,,,,,,,,,,,,24.16623887499918,24.188239375000194,24.188239375000194,24.188239375000194,24.76406154199867,l,1,0.5666409579989704,None,24.76416829200025,24.76420970899926,24.764238708999983,24.77511612499984,24.77511612499984,25.00520987500022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Yamamoto,right,l,13,13,0,l,1,0.48168975000044156,None,,,,,,,,,,,,,,0,13,13,28,,,,,,,,,,,,,25.01736924999932,,,,,,,,,,,,,,,,,,,,,,,,,,,25.009554458998537,25.01736924999932,25.01736924999932,25.01736924999932,25.506545749998622,l,1,0.48168975000044156,None,25.506702333999783,25.506763999999748,25.506808083999204,25.518549249998614,25.518549249998614,25.74612583399903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Chong,left,a,14,14,0,a,1,0.5183032079985423,None,,,,,,,,,,,,,,0,14,14,23,,,,,,,,,,,,,25.77143704199989,,,,,,,,,,,,,,,,,,,,,,,,,,,25.750074666999353,25.77143704199989,25.77143704199989,25.77143704199989,26.297014750000017,a,1,0.5183032079985423,None,26.29714379199868,26.29719337499955,26.29723550000017,26.309397958999398,26.309397958999398,26.53825712499929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Whang,left,a,15,15,0,a,1,0.5373570419997122,None,,,,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,26.55301979199976,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54505566700027,26.55301979199976,26.55301979199976,26.55301979199976,27.096784542000023,a,1,0.5373570419997122,None,27.096911083999657,27.09696066699871,27.0969992499995,27.109046708999813,27.109046708999813,27.338132916998802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Yoon,left,a,16,16,0,a,1,0.47905154100044456,None,,,,,,,,,,,,,,0,16,16,0,,,,,,,,,,,,,27.349578291999933,,,,,,,,,,,,,,,,,,,,,,,,,,,27.341659249999793,27.349578291999933,27.349578291999933,27.349578291999933,27.830817209000088,a,1,0.47905154100044456,None,27.83094891699875,27.830997584000215,27.831032250000135,27.843046459000107,27.843046459000107,28.071771541999624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Yagimoto,right,l,17,17,0,l,1,0.48300420800114807,None,,,,,,,,,,,,,,0,17,17,30,,,,,,,,,,,,,28.083862458999647,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07601545899888,28.083862458999647,28.083862458999647,28.083862458999647,28.573146958999132,l,1,0.48300420800114807,None,28.573311916999955,28.573375583999223,28.573419791999186,28.585078041998713,28.585078041998713,28.81291283399878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Morimoto,right,l,18,18,0,l,1,0.7017598749989702,None,,,,,,,,,,,,,,0,18,18,48,,,,,,,,,,,,,28.825402583999676,,,,,,,,,,,,,,,,,,,,,,,,,,,28.816921958999956,28.825402583999676,28.825402583999676,28.825402583999676,29.530566542000088,l,1,0.7017598749989702,None,29.53069195900025,29.530741249998755,29.530777416999626,29.542752749999636,29.542752749999636,29.771808208999573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Minakami,right,l,19,19,0,l,1,0.4975707499997952,None,,,,,,,,,,,,,,0,19,19,47,,,,,,,,,,,,,29.78507770899887,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77709920899906,29.78507770899887,29.78507770899887,29.78507770899887,30.289628874999835,l,1,0.4975707499997952,None,30.289763583999957,30.289813208999476,30.28984708399912,30.30140449999999,30.30140449999999,30.529305791998922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Jang,left,a,20,20,0,a,1,0.49843287500152655,None,,,,,,,,,,,,,,0,20,20,24,,,,,,,,,,,,,30.543060166999567,,,,,,,,,,,,,,,,,,,,,,,,,,,30.534388666999803,30.543060166999567,30.543060166999567,30.543060166999567,31.047672249998868,a,1,0.49843287500152655,None,31.047838041999057,31.047902667000017,31.047947416998795,31.062092916999973,31.062092916999973,31.28859754199948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Samukawa,right,l,21,21,0,l,1,0.5771368339992478,None,,,,,,,,,,,,,,0,21,21,40,,,,,,,,,,,,,31.302341083999636,,,,,,,,,,,,,,,,,,,,,,,,,,,31.294229999999516,31.302341083999636,31.302341083999636,31.302341083999636,31.889871708999635,l,1,0.5771368339992478,None,31.89000437499999,31.890060624999023,31.89009604199964,31.90185783400011,31.90185783400011,32.12883483399855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Sakata,right,l,22,22,0,l,1,0.5290874580005038,None,,,,,,,,,,,,,,0,22,22,42,,,,,,,,,,,,,32.142884458999106,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13443670899869,32.142884458999106,32.142884458999106,32.142884458999106,32.68048579199967,l,1,0.5290874580005038,None,32.68061379199935,32.68066383399855,32.680699249998725,32.69299341700025,32.69299341700025,32.92181370899925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
Choi,left,a,23,23,0,a,1,0.4684285410003213,None,,,,,,,,,,,,,,0,23,23,15,,,,,,,,,,,,,32.93366999999853,,,,,,,,,,,,,,,,,,,,,,,,,,,32.92570908400012,32.93366999999853,32.93366999999853,32.93366999999853,33.406289833999836,a,1,0.4684285410003213,None,33.40641508399858,33.40646429200024,33.40649904199927,33.41807012499885,33.41807012499885,33.64573308399849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490405,001,2025-04-13_22h07.35.287,IAT,2024.2.4,None,2025-04-13 22h08.10.778748 +0800,
