name,correctAns,keypad,thisN,thisTrialN,thisRepN,key_resp_A1.keys,key_resp_A1.corr,key_resp_A1.rt,key_resp_A1.duration,key_resp_A2.keys,key_resp_A2.corr,key_resp_A2.rt,key_resp_A2.duration,words,key_resp_B1.keys,key_resp_B1.corr,key_resp_B1.rt,key_resp_B1.duration,key_resp_B2.keys,key_resp_B2.corr,key_resp_B2.rt,key_resp_B2.duration,categories,key_resp_C1.keys,key_resp_C1.corr,key_resp_C1.rt,key_resp_C1.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,Welcome.started,welcome.started,key_resp_22.started,Welcome.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,Introduction.started,key_resp.started,information.started,Introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reminder_A1.started,key_resp_2.started,image_a1.started,reminder_A1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,ISI1500_A1.started,background_A.started,text_ISI1500_A1.started,ISI1500_A1.stopped,practice_Task_A1.started,background_A_2.started,text_A1.started,key_resp_A1.started,practice_Task_A1.stopped,trials.key_resp_A1.keys,trials.key_resp_A1.corr,trials.key_resp_A1.rt,trials.key_resp_A1.duration,feedback_A1.started,feedback_A1.stopped,ISI250_A1.started,background_A_4.started,text_ISI250_A1.started,ISI250_A1.stopped,background_A_3.started,feedback_text_A1.started,score_A1.started,score_A1_text.started,key_resp_score.started,score_A1.stopped,key_resp_score.keys,key_resp_score.rt,key_resp_score.duration,reminder_A2.started,key_resp_23.started,image_a2.started,reminder_A2.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,record_Task_A2.started,background_A_5.started,text_A2.started,key_resp_A2.started,record_Task_A2.stopped,trials_4.key_resp_A2.keys,trials_4.key_resp_A2.corr,trials_4.key_resp_A2.rt,trials_4.key_resp_A2.duration,feedback_A2.started,feedback_A2.stopped,background_A_6.started,feedback_text_A2.started,background_A_6.stopped,feedback_text_A2.stopped,background_A_4.stopped,text_ISI250_A1.stopped,score_A2.started,score_A2_text.started,key_resp_3.started,score_A2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,reminder_B1.started,key_resp_24.started,image_b1.started,reminder_B1.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,ISI1500_B1.started,background_B.started,text_ISI1500_B1.started,ISI1500_B1.stopped,practice_Task_B1.started,background_B_2.started,text_B1.started,key_resp_B1.started,practice_Task_B1.stopped,trials_7.key_resp_B1.keys,trials_7.key_resp_B1.corr,trials_7.key_resp_B1.rt,trials_7.key_resp_B1.duration,feedback_B1.started,feedback_B1.stopped,ISI250_B1.started,background_B_4.started,text_ISI250_B1.started,ISI250_B1.stopped,background_B_4.stopped,text_ISI250_B1.stopped,background_B_3.started,feedback_text_B1.started,background_B_3.stopped,feedback_text_B1.stopped,score_B1.started,score_B1_text.started,key_resp_6.started,score_B1.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,reminder_B2.started,key_resp_25.started,image_b2.started,reminder_B2.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.duration,background_B.stopped,text_ISI1500_B1.stopped,record_Task_B2.started,background_B_6.started,text_B2.started,key_resp_B2.started,record_Task_B2.stopped,trials_2.key_resp_B2.keys,trials_2.key_resp_B2.corr,trials_2.key_resp_B2.rt,trials_2.key_resp_B2.duration,feedback_B2.started,feedback_B2.stopped,background_B_5.started,feedback_text_B2.started,background_B_5.stopped,feedback_text_B2.stopped,score_B2.started,score_B2_text.started,key_resp_4.started,score_B2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,reminder_C1.started,key_resp_26.started,image_c1.started,reminder_C1.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.duration,ISI1500_C1.started,background_C.started,text_ISI1500_C1.started,ISI1500_C1.stopped,record_Task_C1.started,background_C_2.started,text_C1.started,key_resp_C1.started,record_Task_C1.stopped,trials_3.key_resp_C1.keys,trials_3.key_resp_C1.corr,trials_3.key_resp_C1.rt,trials_3.key_resp_C1.duration,feedback_C1.started,feedback_C1.stopped,ISI250_C1.started,background_C_4.started,text_ISI250_C1.started,background_C_4.stopped,text_ISI250_C1.stopped,ISI250_C1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Kawabashi,right,l,6,6,0,l,1,0.573766000001342,None,,,,,,,,,,,,,,,,,,,0,6,6,31,,,,,,,,,,,,,,,,,25.801000207997276,,,,,,,,,,,,,,,,,,,,,,,,,,,25.792956374993082,25.801000207997276,25.801000207997276,25.801000207997276,26.389028582998435,l,1,0.573766000001342,None,26.3891536250012,26.389209582994226,26.389245332989958,26.3994884579879,26.3994884579879,26.624080290988786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Choi,left,a,7,7,0,a,1,0.41099666700756643,None,,,,,,,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,26.639268415994593,,,,,,,,,,,,,,,,,,,,,,,,,,,26.631250624996028,26.639268415994593,26.639268415994593,26.639268415994593,27.0587499159883,a,1,0.41099666700756643,None,27.058884124999167,27.058940040995367,27.058974165993277,27.071327290992485,27.071327290992485,27.30031254098867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Takasawa,right,l,8,8,0,l,1,0.56393291700806,None,,,,,,,,,,,,,,,,,,,0,8,8,36,,,,,,,,,,,,,,,,,27.31390716599708,,,,,,,,,,,,,,,,,,,,,,,,,,,27.305939832993317,27.31390716599708,27.31390716599708,27.31390716599708,27.884102332987823,l,1,0.56393291700806,None,27.88423379098822,27.88428987500083,27.884324957994977,27.895928582991473,27.895928582991473,28.124397583000246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Miyamatsu,right,l,9,9,0,l,1,0.4760755839961348,None,,,,,,,,,,,,,,,,,,,0,9,9,49,,,,,,,,,,,,,,,,,28.138316290991497,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13031249999767,28.138316290991497,28.138316290991497,28.138316290991497,28.618215790993418,l,1,0.4760755839961348,None,28.61838429099589,28.61845637499937,28.618501082994044,28.63040620800166,28.63040620800166,28.858596999998554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Yagimoto,right,l,10,10,0,l,1,0.4896645409899065,None,,,,,,,,,,,,,,,,,,,0,10,10,30,,,,,,,,,,,,,,,,,28.872070083001745,,,,,,,,,,,,,,,,,,,,,,,,,,,28.864310457996908,28.872070083001745,28.872070083001745,28.872070083001745,29.36809233299573,l,1,0.4896645409899065,None,29.368255082998076,29.368318790991907,29.368369791001896,29.377126665989636,29.377126665989636,29.60749629099155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Fukamachi,right,l,11,11,0,l,1,0.4773865000024671,None,,,,,,,,,,,,,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,29.616419790996588,,,,,,,,,,,,,,,,,,,,,,,,,,,29.609771207993617,29.616419790996588,29.616419790996588,29.616419790996588,30.101155374999507,l,1,0.4773865000024671,None,30.101291290993686,30.101346290990477,30.10138145799283,30.113349291001214,30.113349291001214,30.340418499996304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Youn,left,a,12,12,0,a,1,0.4267827080038842,None,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,,,,,,,,,,,,,30.352524582995102,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34445695798786,30.352524582995102,30.352524582995102,30.352524582995102,30.784363375001703,a,1,0.4267827080038842,None,30.784493790997658,30.78454937499191,30.784590374998515,30.796343540991074,30.796343540991074,31.02401229098905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Chon,left,a,13,13,0,a,1,0.4162233329989249,None,,,,,,,,,,,,,,,,,,,0,13,13,16,,,,,,,,,,,,,,,,,31.03551329098991,,,,,,,,,,,,,,,,,,,,,,,,,,,31.027605707990006,31.03551329098991,31.03551329098991,31.03551329098991,31.459067582996795,a,1,0.4162233329989249,None,31.45919799999683,31.459252249987912,31.45928704099788,31.47119374999602,31.47119374999602,31.700096540997038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Sakata,right,l,14,14,0,l,1,0.4769305829977384,None,,,,,,,,,,,,,,,,,,,0,14,14,42,,,,,,,,,,,,,,,,,31.714703999998164,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7064790000004,31.714703999998164,31.714703999998164,31.714703999998164,32.201144249993376,l,1,0.4769305829977384,None,32.201319290994434,32.20138866599882,32.20143200000166,32.21352958299394,32.21352958299394,32.441060957993614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Jung,left,a,15,15,0,a,1,0.5506941250059754,None,,,,,,,,,,,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,32.45243095800106,,,,,,,,,,,,,,,,,,,,,,,,,,,32.44447666600172,32.45243095800106,32.45243095800106,32.45243095800106,33.00934308298747,a,1,0.5506941250059754,None,33.00947583299421,33.009531415998936,33.00956620799843,33.02144633299031,33.02144633299031,33.25038258299173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Sunwoo,left,a,16,16,0,a,1,0.6263490419951268,None,,,,,,,,,,,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,33.26344824999978,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25543974999164,33.26344824999978,33.26344824999978,33.26344824999978,33.892522540991195,a,1,0.6263490419951268,None,33.892658749988186,33.89271554099105,33.89275091599848,33.904739874997176,33.904739874997176,34.13353945799463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Kitayama,right,l,17,17,0,l,1,0.4766784999956144,None,,,,,,,,,,,,,,,,,,,0,17,17,45,,,,,,,,,,,,,,,,,34.145925415999955,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13790787498874,34.145925415999955,34.145925415999955,34.145925415999955,34.62548520800192,l,1,0.4766784999956144,None,34.62561520798772,34.62567808300082,34.62571404100163,34.63764358298795,34.63764358298795,34.867052665998926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Yoon,left,a,18,18,0,a,1,0.6264571250067092,None,,,,,,,,,,,,,,,,,,,0,18,18,0,,,,,,,,,,,,,,,,,34.87918712499959,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8711312910018,34.87918712499959,34.87918712499959,34.87918712499959,35.50922145799268,a,1,0.6264571250067092,None,35.509361207994516,35.50941812498786,35.509454290993745,35.521357833000366,35.521357833000366,35.7496760829963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
Namikawa,right,l,19,19,0,l,1,0.43832916700921487,None,,,,,,,,,,,,,,,,,,,0,19,19,44,,,,,,,,,,,,,,,,,35.762929165997775,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75490245799301,35.762929165997775,35.762929165997775,35.762929165997775,36.20946354098851,l,1,0.43832916700921487,None,36.209594582993304,36.20964937499957,36.20968395798991,36.22153699999035,36.22153699999035,36.45044308299839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,027378,001,2025-04-15_14h28.13.107,IAT,2024.2.4,None,2025-04-15 14h28.39.149208 +0800,
